# t x y z qx qy qz qw
2.499998 0.687334 0.325773 0.298783 -0.572240 0.526252 -0.392860 0.491183
2.509998 0.687522 0.325185 0.299626 -0.571665 0.526635 -0.392634 0.491623
2.519998 0.687643 0.324760 0.300398 -0.571245 0.526827 -0.392414 0.492081
2.529998 0.687808 0.324276 0.301259 -0.570810 0.526937 -0.392311 0.492550
2.539998 0.687969 0.323816 0.302169 -0.570386 0.526970 -0.392330 0.492991
2.549998 0.688156 0.323304 0.303156 -0.569966 0.526916 -0.392472 0.493420
2.559998 0.688330 0.322766 0.304122 -0.569570 0.526850 -0.392635 0.493818
2.569998 0.688480 0.322210 0.304960 -0.569181 0.526844 -0.392824 0.494123
2.579998 0.688613 0.321657 0.305723 -0.568805 0.526865 -0.393024 0.494374
2.589998 0.688751 0.321092 0.306471 -0.568428 0.526884 -0.393262 0.494599
2.599998 0.688868 0.320583 0.307209 -0.568068 0.526875 -0.393544 0.494798
2.609998 0.688995 0.319977 0.308033 -0.567608 0.526958 -0.393873 0.494975
2.619998 0.689006 0.319531 0.308758 -0.567192 0.527121 -0.394010 0.495169
2.629997 0.688957 0.319120 0.309473 -0.566766 0.527347 -0.394010 0.495416
2.639997 0.688850 0.318835 0.310154 -0.566392 0.527562 -0.393857 0.495736
2.649997 0.688761 0.318499 0.310882 -0.566001 0.527776 -0.393669 0.496105
2.659997 0.688681 0.318134 0.311619 -0.565622 0.527965 -0.393459 0.496503
2.669997 0.688668 0.317606 0.312292 -0.565175 0.528271 -0.393278 0.496830
2.679997 0.688617 0.317057 0.313008 -0.564683 0.528647 -0.393012 0.497199
2.689997 0.688528 0.316601 0.313801 -0.564220 0.528931 -0.392745 0.497634
2.699997 0.688410 0.316254 0.314620 -0.563847 0.529047 -0.392532 0.498101
2.709997 0.688299 0.315836 0.315460 -0.563477 0.529151 -0.392338 0.498562
2.719997 0.688264 0.315266 0.316204 -0.563062 0.529335 -0.392244 0.498909
2.729997 0.688248 0.314563 0.317037 -0.562598 0.529503 -0.392270 0.499233
2.739997 0.688185 0.314103 0.317701 -0.562339 0.529483 -0.392285 0.499534
2.749997 0.688108 0.313642 0.318451 -0.562151 0.529288 -0.392320 0.499925
2.759997 0.688015 0.313256 0.319170 -0.562053 0.528952 -0.392467 0.500276
2.769997 0.687957 0.312800 0.319884 -0.561981 0.528529 -0.392805 0.500538
2.779997 0.687923 0.312334 0.320558 -0.561988 0.527989 -0.393237 0.500762
2.789997 0.687911 0.311880 0.321175 -0.562117 0.527267 -0.393827 0.500914
2.799997 0.687932 0.311411 0.321782 -0.562327 0.526386 -0.394593 0.501001
2.809997 0.687966 0.310956 0.322368 -0.562620 0.525382 -0.395418 0.501076
2.819997 0.688027 0.310456 0.322900 -0.562878 0.524456 -0.396271 0.501082
2.829997 0.688114 0.309930 0.323377 -0.563022 0.523738 -0.397096 0.501019
2.839997 0.688219 0.309316 0.323924 -0.563081 0.523079 -0.398006 0.500919
2.849997 0.688276 0.308801 0.324355 -0.563149 0.522529 -0.398744 0.500829
2.859997 0.688299 0.308322 0.324710 -0.563329 0.521865 -0.399526 0.500695
2.869997 0.688354 0.307883 0.325030 -0.563458 0.521300 -0.400280 0.500537
2.879997 0.688396 0.307488 0.325420 -0.563574 0.520697 -0.401079 0.500395
2.889997 0.688422 0.307135 0.325733 -0.563612 0.520299 -0.401694 0.500271
2.899997 0.688457 0.306713 0.326003 -0.563601 0.520019 -0.402249 0.500130
2.909997 0.688466 0.306360 0.326228 -0.563585 0.519808 -0.402667 0.500032
2.919997 0.688463 0.306061 0.326471 -0.563557 0.519616 -0.403009 0.499987
2.929997 0.688480 0.305735 0.326767 -0.563501 0.519422 -0.403353 0.499974
2.939997 0.688533 0.305400 0.327049 -0.563405 0.519303 -0.403629 0.499983
2.949997 0.688598 0.305013 0.327362 -0.563190 0.519360 -0.403773 0.500049
2.959997 0.688637 0.304705 0.327610 -0.562921 0.519583 -0.403718 0.500165
2.969997 0.688698 0.304366 0.327925 -0.562552 0.519928 -0.403503 0.500396
2.979997 0.688780 0.304050 0.328230 -0.562159 0.520318 -0.403225 0.500656
2.989997 0.688906 0.303626 0.328656 -0.561574 0.520910 -0.402809 0.501030
2.999997 0.689026 0.303238 0.329022 -0.561030 0.521494 -0.402360 0.501395
3.009997 0.689169 0.302798 0.329388 -0.560454 0.522147 -0.401784 0.501820
3.019997 0.689314 0.302357 0.329787 -0.559945 0.522677 -0.401192 0.502310
3.029997 0.689471 0.301942 0.330200 -0.559588 0.522908 -0.400873 0.502722
3.039997 0.689698 0.301395 0.330674 -0.559166 0.523133 -0.400742 0.503061
3.049997 0.689924 0.300837 0.331131 -0.558747 0.523382 -0.400592 0.503387
